Observation Date,Country,Confirmed,Death,Recovered
1/30/2020,India,1,0,0
1/31/2020,India,1,0,0
2/1/2020,India,1,0,0
2/2/2020,India,2,0,0
2/3/2020,India,3,0,0
2/4/2020,India,3,0,0
2/5/2020,India,3,0,0
2/6/2020,India,3,0,0
2/7/2020,India,3,0,0
2/8/2020,India,3,0,0
2/9/2020,India,3,0,0
2/10/2020,India,3,0,0
2/11/2020,India,3,0,0
2/12/2020,India,3,0,0
2/13/2020,India,3,0,0
2/14/2020,India,3,0,0
2/15/2020,India,3,0,0
2/16/2020,India,3,0,3
2/17/2020,India,3,0,3
2/18/2020,India,3,0,3
2/19/2020,India,3,0,3
2/20/2020,India,3,0,3
2/21/2020,India,3,0,3
2/22/2020,India,3,0,3
2/23/2020,India,3,0,3
2/24/2020,India,3,0,3
2/25/2020,India,3,0,3
2/26/2020,India,3,0,3
2/27/2020,India,3,0,3
2/28/2020,India,3,0,3
2/29/2020,India,3,0,3
3/1/2020,India,3,0,3
3/2/2020,India,5,0,3
3/3/2020,India,5,0,3
3/4/2020,India,28,0,3
3/5/2020,India,30,0,3
3/6/2020,India,31,0,3
3/7/2020,India,34,0,3
3/8/2020,India,39,0,3
3/9/2020,India,43,0,3
3/10/2020,India,56,0,4
3/11/2020,India,62,1,4
3/12/2020,India,73,1,4
3/13/2020,India,82,2,4
3/14/2020,India,102,2,4
3/15/2020,India,113,2,13
3/16/2020,India,119,2,13
3/17/2020,India,142,3,14
3/18/2020,India,156,3,14
3/19/2020,India,194,4,15
3/20/2020,India,244,5,20
3/21/2020,India,330,4,23
3/22/2020,India,396,7,24
3/23/2020,India,499,10,34
3/24/2020,India,536,10,40
3/25/2020,India,657,12,43
3/26/2020,India,727,20,45
3/27/2020,India,887,20,73
3/28/2020,India,987,24,84
3/29/2020,India,1024,27,95
3/30/2020,India,1251,32,102
3/31/2020,India,1397,35,123
4/1/2020,India,1998,58,148
4/2/2020,India,2543,72,191
4/3/2020,India,2567,72,192
4/4/2020,India,3082,86,229
4/5/2020,India,3588,99,229
4/6/2020,India,4778,136,375
4/7/2020,India,5311,150,421
4/8/2020,India,5916,178,506
4/9/2020,India,6725,226,620
4/10/2020,India,7598,246,774
4/11/2020,India,8446,288,969
4/12/2020,India,9205,331,1080
4/13/2020,India,10453,358,1181
4/14/2020,India,11487,393,1359
4/15/2020,India,12322,405,1432
4/16/2020,India,13430,448,1768
4/17/2020,India,14352,486,2041
4/18/2020,India,15722,521,2463
4/19/2020,India,17615,559,2854
4/20/2020,India,18539,592,3273
4/21/2020,India,20080,645,3975
4/22/2020,India,21370,681,4370
4/23/2020,India,23077,721,5012
4/24/2020,India,24530,780,5498
4/25/2020,India,26283,825,5939
4/26/2020,India,27890,881,6523
4/27/2020,India,29451,939,7137
4/28/2020,India,31324,1008,7747
4/29/2020,India,33062,1079,8437
4/30/2020,India,34863,1154,9068
5/1/2020,India,37257,1223,10007
5/2/2020,India,39699,1323,10819
5/3/2020,India,42505,1391,11775
5/4/2020,India,46437,1566,12847
5/5/2020,India,49400,1693,14142
5/6/2020,India,52987,1785,15331
5/7/2020,India,56351,1889,16776
5/8/2020,India,59695,1985,17887
5/9/2020,India,62808,2101,19301
5/10/2020,India,67161,2212,20969
5/11/2020,India,70768,2294,22549
5/12/2020,India,74292,2415,24420
5/13/2020,India,78055,2551,26400
5/14/2020,India,81997,2649,27969
5/15/2020,India,85784,2753,30258
5/16/2020,India,90648,2871,34224
5/17/2020,India,95698,3025,36795
5/18/2020,India,100328,3156,39233
5/19/2020,India,106475,3302,42309
5/20/2020,India,112028,3434,45422
5/21/2020,India,118226,3584,48553
5/22/2020,India,124794,3726,51824
5/23/2020,India,131423,3868,54385
5/24/2020,India,138536,4024,57692
5/25/2020,India,144950,4172,60706
5/26/2020,India,150793,4344,64277
5/27/2020,India,158086,4534,67749
5/28/2020,India,165386,4711,70920
5/29/2020,India,173491,4980,82627
5/30/2020,India,181827,5185,86936
5/31/2020,India,190609,5408,91852
6/1/2020,India,198370,5608,95754
6/2/2020,India,207191,5829,100285
6/3/2020,India,216824,6088,104071
6/4/2020,India,226713,6363,108450
6/5/2020,India,236184,6649,113233
6/6/2020,India,246622,6946,118695
6/7/2020,India,257486,7207,123848
6/8/2020,India,265928,7473,129095
6/9/2020,India,276146,7750,134670
6/10/2020,India,33,0,33
6/10/2020,India,5070,77,2802
6/10/2020,India,57,0,1
6/10/2020,India,2937,4,1085
6/10/2020,India,5459,32,2864
6/10/2020,India,323,5,286
6/10/2020,India,22,0,2
6/10/2020,India,31309,905,11861
